iter	Passed	Remaining
647	771	419
648	772	417
649	773	416
650	773	414
651	774	413
652	775	412
653	776	410
654	777	409
655	777	407
656	778	406
657	779	405
658	780	403
659	780	402
660	781	400
661	782	399
662	783	398
663	783	396
664	785	395
665	785	394
666	786	392
667	787	391
668	787	389
669	788	388
670	789	387
671	790	385
672	790	384
673	791	382
674	792	381
675	792	380
676	793	378
677	794	377
678	795	375
679	796	374
680	796	373
681	797	371
682	798	370
683	798	369
684	799	367
685	800	366
686	801	365
687	802	364
688	803	362
689	804	361
690	805	360
691	806	358
692	806	357
693	807	356
694	808	354
695	809	353
696	809	352
697	810	350
698	811	349
699	812	348
700	812	346
701	813	345
702	814	344
703	815	342
704	815	341
705	816	340
706	817	338
707	818	337
708	819	336
709	820	335
710	821	333
711	821	332
712	822	331
713	823	329
714	824	328
715	825	327
716	826	326
717	827	324
718	828	323
719	828	322
720	829	320
721	830	319
722	831	318
723	832	317
724	832	315
725	833	314
726	834	313
727	835	312
728	835	310
729	836	309
730	837	308
731	838	306
732	839	305
733	840	304
734	840	303
735	841	301
736	842	300
737	843	299
738	843	298
739	845	297
740	846	295
741	847	294
742	848	293
743	848	292
744	849	290
745	850	289
746	851	288
747	852	287
748	852	285
749	854	284
750	855	283
751	856	282
752	857	281
753	858	279
754	858	278
755	859	277
756	860	276
757	861	274
758	862	273
759	863	272
760	864	271
761	864	270
762	865	268
763	866	267
764	867	266
765	867	265
766	869	264
767	870	262
768	870	261
769	872	260
770	872	259
771	873	258
772	874	256
773	875	255
774	876	254
775	877	253
776	878	252
777	878	250
778	879	249
779	880	248
780	881	247
781	882	245
782	883	244
783	884	243
784	885	242
785	886	241
786	887	240
787	888	239
788	889	237
789	890	236
790	891	235
791	892	234
792	893	233
793	893	231
794	894	230
795	895	229
796	896	228
797	897	227
798	897	225
799	899	224
800	901	223
801	902	222
802	903	221
803	904	220
804	905	219
805	906	218
806	907	216
807	908	215
808	908	214
809	909	213
810	910	212
811	911	211
812	912	209
813	913	208
814	914	207
815	915	206
816	915	205
817	916	203
818	917	202
819	918	201
820	919	200
821	920	199
822	921	198
823	921	196
824	923	195
825	924	194
826	925	193
827	926	192
828	927	191
829	928	190
830	929	189
831	930	187
832	931	186
833	932	185
834	933	184
835	934	183
836	935	182
837	936	181
838	937	179
839	938	178
840	938	177
841	939	176
842	940	175
843	941	174
844	942	172
845	943	171
846	944	170
847	944	169
848	945	168
849	946	167
850	947	165
851	948	164
852	949	163
853	949	162
854	950	161
855	951	160
856	952	158
857	952	157
858	953	156
859	956	155
860	957	154
861	958	153
862	959	152
863	960	151
864	960	149
865	962	148
866	963	147
867	964	146
868	967	145
869	970	145
870	973	144
871	974	142
872	974	141
873	975	140
874	976	139
875	977	138
876	978	137
877	979	136
878	980	134
879	981	133
880	982	132
881	983	131
882	983	130
883	984	129
884	985	128
885	986	126
886	990	126
887	993	125
888	996	124
889	997	123
890	998	122
891	999	121
892	1000	119
893	1001	118
894	1002	117
895	1003	116
896	1003	115
897	1004	114
898	1005	112
899	1006	111
900	1007	110
901	1008	109
902	1009	108
903	1010	107
904	1011	106
905	1012	105
906	1013	103
907	1014	102
908	1015	101
909	1016	100
910	1016	99
911	1017	98
912	1018	97
913	1019	95
914	1020	94
915	1021	93
916	1021	92
917	1022	91
918	1023	90
919	1024	89
920	1025	87
921	1026	86
922	1026	85
923	1027	84
924	1028	83
925	1029	82
926	1030	81
927	1031	80
928	1032	78
929	1033	77
930	1033	76
931	1034	75
932	1035	74
933	1036	73
934	1037	72
935	1038	70
936	1039	69
937	1040	68
938	1040	67
939	1041	66
940	1042	65
941	1043	64
942	1044	63
943	1044	61
944	1046	60
945	1047	59
946	1048	58
947	1048	57
948	1049	56
949	1050	55
950	1051	54
951	1052	53
952	1053	51
953	1053	50
954	1054	49
955	1055	48
956	1055	47
957	1056	46
958	1057	45
959	1058	44
960	1058	42
961	1059	41
962	1060	40
963	1060	39
964	1061	38
965	1062	37
966	1063	36
967	1063	35
968	1064	34
969	1065	32
970	1066	31
971	1067	30
972	1068	29
973	1068	28
974	1069	27
975	1070	26
976	1070	25
977	1071	24
978	1072	23
979	1073	21
980	1074	20
981	1075	19
982	1075	18
983	1076	17
984	1077	16
985	1078	15
986	1078	14
987	1079	13
988	1080	12
989	1081	10
990	1082	9
991	1083	8
992	1083	7
993	1084	6
994	1085	5
995	1086	4
996	1087	3
997	1088	2
998	1089	1
999	1089	0
